2020-10-04 | 15:05:53.086 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2020-10-04 | 15:05:53.363 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLongitude: must be greater than or equal to -180
2020-10-04 | 15:05:53.598 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2020-10-04 | 15:05:53.599 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2020-10-04 | 15:05:53.881 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLiking[4].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[5].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[3].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[6].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[0].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[2].restaurantId: must not be null, createUserLiking.userLikingReqeust.userLiking[1].restaurantId: must not be null
2020-10-04 | 15:05:54.733 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLongitude: must not be null
2020-10-04 | 15:05:55.862 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.longitude: must be greater than or equal to 122
2020-10-04 | 15:05:57.113 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'radius' is not present
2020-10-04 | 15:05:57.577 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.latitude: must be less than or equal to 43
2020-10-04 | 15:05:57.990 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2020-10-04 | 15:05:57.990 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2020-10-04 | 15:05:58.460 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.radius: must be greater than or equal to 0.001
2020-10-04 | 15:05:58.866 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | jwt token은 Bearer로 시작해야 합니다
2020-10-04 | 15:06:00.215 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'latitude' is not present
2020-10-04 | 15:06:00.655 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.id: must not be blank
2020-10-04 | 15:06:01.736 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.latitude: must be greater than or equal to 32
2020-10-04 | 15:06:02.817 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'longitude' is not present
2020-10-04 | 15:06:04.183 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.longitude: must be greater than or equal to 123
2020-10-04 | 15:06:04.657 | Test worker          | ERROR | .s.c.RestaurantController | ID:          | jwt token의 유저 아이디와 path param 유저 아이디가 일치하지 않습니다.
2020-10-04 | 15:06:04.657 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | jwt token의 유저 아이디와 path param 유저 아이디가 일치하지 않습니다. :100
2020-10-04 | 15:06:05.405 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.radius: must be less than or equal to 0.02
2020-10-04 | 15:06:06.335 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'latitude' is not present
2020-10-04 | 15:06:06.781 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'radius' is not present
2020-10-04 | 15:06:07.285 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.latitude: must be greater than or equal to 32
2020-10-04 | 15:06:07.799 | Test worker          | ERROR | c.s.s.s.RestaurantService | ID:          | 선택된 식당 카드가 7장 미만입니다.
2020-10-04 | 15:06:07.835 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 선택된 식당 카드가 7장 미만입니다.
2020-10-04 | 15:06:09.046 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.radius: must be greater than or equal to 0.001
2020-10-04 | 15:06:09.517 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.radius: must be less than or equal to 0.02
2020-10-04 | 15:06:09.984 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.longitude: must be less than or equal to 133
2020-10-04 | 15:06:11.248 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2020-10-04 | 15:06:11.249 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2020-10-04 | 15:06:11.817 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.latitude: must be less than or equal to 43
2020-10-04 | 15:06:12.231 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.longitude: must be less than or equal to 133
2020-10-04 | 15:06:12.567 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | jwt token은 Bearer로 시작해야 합니다
2020-10-04 | 15:06:12.963 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'longitude' is not present
2020-10-04 | 15:06:13.229 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Expired JWT token
2020-10-04 | 15:06:13.834 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2020-10-04 | 15:06:13.860 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2020-10-04 | 15:06:15.507 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(6409) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-10-04 | 15:06:15.507 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(6409) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-10-04 | 15:06:18.558 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2020-10-04 | 15:06:18.576 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2020-10-04 | 15:06:21.382 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(6416) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-10-04 | 15:06:21.395 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(6416) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-10-04 | 15:06:21.687 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Expired JWT token
2020-10-04 | 15:06:21.859 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2020-10-04 | 15:06:21.859 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2020-10-04 | 15:06:22.034 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2020-10-04 | 15:06:22.035 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2020-10-04 | 15:06:23.312 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(6420) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-10-04 | 15:06:23.339 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(6420) 저장된 리프레시 토큰과 일치하지 않습니다.
